Instruction,GPR,Data
0x0076043b,x8,0x0000000000000001
0x40ed8ebb,x29,0x0000000016711bdf
0x03aeeeb3,x29,0x0000000000000000
0x03b3f63b,x12,0x0000000000000001
0x40ed8ebb,x29,0x0000000016711bdf
0x497d8e9b,x29,0x0000000016712076
0xfff00293,x5,0xffffffffffffffff
0xcaf268b7,x17,0xffffffffcaf26000
0x3f78889b,x17,0xffffffffcaf263f7
0x01289893,x17,0xffff2bc98fdc0000
0xd1788893,x17,0xffff2bc98fdbfd17
0x00e89893,x17,0xcaf263f6ff45c000
0x40688893,x17,0xcaf263f6ff45c406
0x00000993,x19,0x0000000000000000
0x00000693,x13,0x0000000000000000
0xfff0081b,x16,0xffffffffffffffff
0x03f81813,x16,0x8000000000000000
0xfff0079b,x15,0xffffffffffffffff
0x03f79793,x15,0x8000000000000000
0xfff0049b,x9,0xffffffffffffffff
0x03f49493,x9,0x8000000000000000
0xfc335337,x6,0xfffffffffc335000
0x2db3031b,x6,0xfffffffffc3352db
0x00d31313,x6,0xffffff866a5b6000
0x01130313,x6,0xffffff866a5b6011
0x01531313,x6,0xf0cd4b6c02200000
0x76330313,x6,0xf0cd4b6c02200763
0xfff00f1b,x30,0xffffffffffffffff
0x03ff1f13,x30,0x8000000000000000
0xfff0021b,x4,0xffffffffffffffff
0x03f21213,x4,0x8000000000000000
0x031808b3,x17,0x0000000000000000
0x031808b3,x17,0x0000000000000000
0x0309e9b3,x19,0x0000000000000000
0x2a38c317,x6,0x00000000aa38ca08
0x4978899b,x19,0x0000000000000497
0x2a38c317,x6,0x00000000aa38ca10
0x02f9d833,x16,0x0000000000000000
0x004302bb,x5,0xffffffffaa38ca10
0x0312733b,x6,0x0000000000000000
0x0312f8b3,x17,0xffffffffaa38ca10
0x36f716b7,x13,0x0000000036f71000
0x00598233,x4,0xffffffffaa38cea7
0x0309e9b3,x19,0x0000000000000497
0x02f9d833,x16,0x0000000000000000
0x02df083b,x16,0x0000000000000000
0x0312733b,x6,0x0000000000000497
0xcbb68493,x9,0x0000000036f70cbb
0x02df083b,x16,0x0000000000000000
0x2a38c317,x6,0x00000000aa38ca44
0x02f9d833,x16,0x0000000000000000
